c_i_parent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.29,0.12,0.092,0.073,0.059,0.037,0.033,0.043,0.023,0.023,0.022,0.015,0.014,0.01,0.017,0.009,0.016,0.011,0.008,0.013,0.002,0.008,0.004,0.001,0.004,0.007,0.003,0.002,0.001,0.004,0.0,0.004,0.001,0.002,0.003,0.005,0.002,0.001,0.002,0.001,0.004,0.003,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.131,0.103,0.08,0.069,0.042,0.054,0.048,0.045,0.035,0.034,0.023,0.026,0.018,0.014,0.02,0.021,0.018,0.013,0.017,0.017,0.012,0.013,0.008,0.009,0.01,0.01,0.011,0.009,0.006,0.01,0.006,0.008,0.002,0.006,0.007,0.004,0.004,0.0,0.001,0.003,0.003,0.002,0.003,0.002,0.003,0.0,0.004,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.002,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.097,0.072,0.091,0.059,0.041,0.059,0.036,0.035,0.033,0.044,0.024,0.035,0.019,0.025,0.02,0.025,0.026,0.02,0.013,0.012,0.011,0.015,0.019,0.009,0.01,0.007,0.01,0.008,0.015,0.01,0.008,0.011,0.004,0.005,0.007,0.006,0.004,0.002,0.005,0.001,0.004,0.003,0.003,0.003,0.002,0.003,0.0,0.0,0.0,0.004,0.003,0.002,0.003,0.0,0.001,0.001,0.0,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.06,0.074,0.041,0.05,0.056,0.061,0.036,0.045,0.028,0.03,0.025,0.029,0.024,0.026,0.023,0.031,0.014,0.017,0.02,0.021,0.025,0.013,0.016,0.009,0.013,0.007,0.009,0.015,0.014,0.008,0.008,0.008,0.009,0.01,0.009,0.008,0.009,0.006,0.003,0.006,0.007,0.008,0.003,0.005,0.006,0.002,0.006,0.003,0.003,0.002,0.003,0.002,0.003,0.002,0.003,0.002,0.0,0.005,0.002,0.0,0.0,0.0,0.002,0.0,0.002,0.002,0.002,0.001,0.001,0.0,0.001,0.0,0.0,0.004,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.048,0.059,0.056,0.032,0.043,0.056,0.05,0.032,0.022,0.027,0.032,0.035,0.037,0.018,0.021,0.028,0.021,0.03,0.019,0.019,0.014,0.02,0.018,0.016,0.007,0.012,0.015,0.008,0.019,0.007,0.008,0.006,0.005,0.01,0.01,0.01,0.004,0.006,0.005,0.009,0.004,0.011,0.008,0.006,0.006,0.002,0.006,0.004,0.002,0.004,0.006,0.001,0.006,0.002,0.004,0.002,0.001,0.003,0.001,0.001,0.0,0.001,0.002,0.003,0.002,0.0,0.002,0.002,0.001,0.001,0.003,0.0,0.001,0.002,0.001,0.0,0.001,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.041,0.064,0.047,0.053,0.034,0.032,0.042,0.028,0.03,0.027,0.028,0.031,0.029,0.026,0.026,0.018,0.019,0.02,0.019,0.017,0.011,0.015,0.014,0.02,0.018,0.01,0.018,0.019,0.014,0.02,0.014,0.013,0.01,0.011,0.013,0.006,0.01,0.013,0.005,0.007,0.007,0.004,0.003,0.003,0.004,0.009,0.007,0.004,0.005,0.005,0.006,0.005,0.002,0.004,0.004,0.003,0.0,0.0,0.006,0.004,0.002,0.0,0.001,0.004,0.0,0.002,0.001,0.001,0.0,0.001,0.001,0.0,0.002,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
7,0.029,0.037,0.05,0.047,0.034,0.035,0.039,0.032,0.037,0.027,0.027,0.029,0.032,0.022,0.024,0.028,0.026,0.027,0.022,0.02,0.025,0.018,0.019,0.016,0.018,0.011,0.014,0.016,0.005,0.017,0.009,0.012,0.007,0.014,0.011,0.008,0.01,0.006,0.008,0.007,0.012,0.008,0.004,0.007,0.004,0.003,0.008,0.003,0.005,0.003,0.007,0.005,0.002,0.005,0.002,0.006,0.002,0.005,0.002,0.005,0.002,0.0,0.002,0.0,0.001,0.001,0.001,0.003,0.003,0.0,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
8,0.026,0.038,0.048,0.043,0.039,0.039,0.047,0.032,0.03,0.026,0.025,0.035,0.028,0.026,0.019,0.023,0.024,0.015,0.016,0.016,0.015,0.014,0.012,0.023,0.018,0.014,0.012,0.015,0.009,0.011,0.018,0.011,0.011,0.009,0.009,0.008,0.008,0.007,0.005,0.013,0.013,0.018,0.008,0.008,0.003,0.007,0.004,0.007,0.005,0.003,0.007,0.002,0.001,0.004,0.006,0.002,0.001,0.004,0.003,0.005,0.002,0.004,0.005,0.002,0.003,0.001,0.002,0.006,0.001,0.003,0.005,0.002,0.003,0.0,0.001,0.004,0.001,0.004,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
9,0.025,0.047,0.027,0.031,0.031,0.036,0.043,0.019,0.039,0.034,0.03,0.031,0.029,0.033,0.02,0.021,0.02,0.026,0.015,0.011,0.022,0.021,0.022,0.022,0.023,0.007,0.013,0.015,0.01,0.013,0.009,0.008,0.011,0.012,0.013,0.008,0.016,0.012,0.012,0.007,0.008,0.004,0.009,0.007,0.012,0.002,0.005,0.005,0.001,0.005,0.006,0.008,0.005,0.005,0.01,0.002,0.003,0.002,0.003,0.004,0.003,0.004,0.004,0.002,0.005,0.003,0.0,0.003,0.003,0.001,0.003,0.002,0.003,0.003,0.001,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.029,0.035,0.026,0.029,0.05,0.03,0.033,0.031,0.034,0.024,0.026,0.026,0.029,0.038,0.02,0.026,0.022,0.029,0.024,0.014,0.019,0.026,0.016,0.022,0.015,0.015,0.013,0.014,0.011,0.007,0.018,0.009,0.009,0.006,0.006,0.01,0.008,0.006,0.008,0.01,0.013,0.011,0.006,0.004,0.004,0.008,0.005,0.011,0.004,0.001,0.009,0.006,0.007,0.007,0.002,0.005,0.006,0.005,0.005,0.006,0.003,0.004,0.005,0.006,0.001,0.004,0.003,0.002,0.002,0.002,0.0,0.0,0.001,0.0,0.002,0.003,0.0,0.001,0.0,0.0,0.004,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.003,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0
